director,rating
Directed By: Ishana Shyamalan,2024.0
Directed By: JT Mollner,2023.0
"Directed By: Kelly O'Sullivan, Alex Thompson",99.0
Directed By: Damian McCarthy,96.0
Directed By: Richard Linklater,95.0
Directed By: Jeremy Saulnier,95.0
Directed By: Michael Sarnoski,86.0
Directed By: Oz Perkins,85.0
Directed By: James Watkins,83.0
Directed By: David Leitch,81.0
Directed By: Fede Alvarez,80.0
Directed By: Tim Burton,80.0
Directed By: Shawn Levy,79.0
Directed By: Lee Isaac Chung,75.0
Directed By: ZoÃ« Kravitz,74.0
Directed By: Alex Kendrick,73.0
Directed By: Yorgos Lanthimos,71.0
Directed By: Jon Watts,68.0
Directed By: Todd Phillips,66.0
Directed By: Justin Baldoni,57.0
Directed By: M. Night Shyamalan,57.0
"Directed By: Max Eggers, Sam Eggers",49.0
Directed By: Lee Daniels,33.0
Directed By: Chris Weitz,23.0
Directed By: Rupert Sanders,23.0
Directed By: Cameron Crowe,20.0
Directed By: Sean McNamara,18.0
Directed By: Eli Roth,10.0
